Comments,,,,,,,,
Jitne bhi desh me hamle huye sab jehadi mullo ne kiye h,0,,,,,,,0
"Aap khud mante hai ki apse ache nomination the pr aap jite.
Hence proved ITA is fake.lol",1,,,,,,,1
Sir aap bahut he achi treh se story ko discrib karte hain (sorry meri english main haath tang hai)  sir kuch puchna hai apko sir. jo jammu me apne jwan bus me shaheed hue the bomb blast hua tha jab nassdik se car nikal rahi thi muje ab tak samaj nahi aya unke saath kya hua vo vaardat kya hui if u don’t mind then please discribe sir. Sir aap bahot hi acha kaam kar rahe hai. Please don’t mind sir is comment se.,0,,,,,,,
wo cleaning hi kar rhey they,0,,,,,,,
"gazi baba fudu planner hai , usko nikal do naukari sey",1,,,,,,,
"bekar hamla , kam se kam 50% MP ko goli matrey tab yeh sucessfull hota.",1,,,,,,,
Awaj bhut axchi h apki,0,,,,,,,
Ahmadabad gujarat akshardham story sunao,1,,,,,,,
Sar baithane ka tarika sahi nahin hai aapka,1,,,,,,,
Comment galat ho raha hai,0,,,,,,,
Ho sakta hai,1,,,,,,,
Pagal agar aap ko gulam,1,,,,,,,
Aap set public ko naam pratit hota,1,,,,,,,
Sar aapka badnor theek nahin,1,,,,,,,
Uri ka Sachs bathoa,0,,,,,,,
Sir aap live hai..😅 😅 😅 😅 😅,1,,,,,,,
Bahot bahot badhai sir,0,,,,,,,
Abi ayi web series special ops me dikhaya ki 6th man bhi tha jisse raw ne baad me mara kya sachai h isme??,0,,,,,,,
Congrts for Indian Televison Award...,1,,,,,,,
Dil pr. Attack hua tha. Sir ye,0,,,,,,,
Bhartiya intelligence k bajay MOSAAD hoti to masood bachta n,1,,,,,,,
Sabhi 4 ko fasi honi chahiye thi,1,,,,,,,
Slow bolta ho thick hai but kahani sunana ka sath photo dikho to itni boar nhi lagagi kahani lambi hoti hai isliya app sab information deta. Ho,1,,,,,,,
mobiel nahi uda ki bam se,0,,,,,,,
Experiance se hi insan seekhta hai,0,,,,,,,
Badhai ho sir,0,,,,,,,
Balgam ho jese Gale Mei ese bolte ho ap 😆,0,,,,,,,
Ur voice is so irritating sir,0,,,,,,,
Mere papa b ush time sansad ki cantein me government job karte te,1,,,,,,,
Congratulations sir,1,,,,,,,
Luckily there was no major disaster. India has been found to be laxed in security in many areas. Hopefully lessons learnt.,1,,,,,,,
Lower court mein fansi aur High court mein Bari ye toh ajib si baat hai,0,,,,,,,
Professor bari ho gaye....kya baat hai....jai ho....,1,,,,,,,
अनन्त अशेष बधाई और शुभकामनाएं💐 सर इस अवार्ड के लिये।,0,,,,,,,
Gazi baba story,1,,,,,,,
I like ur way your style .,0,,,,,,,
"Sir, ab parliament ka sucrurity ka zimma kisko h ....crpf ke baad",1,,,,,,,
Aap jabardast tareeke se batate ho mind-blowing.A Salute to you.,1,,,,,,,
Sir Titanic Zahaz ki kahani banao please,1,,,,,,,
